Tipo;Estación;Calzada;Carriles;Provincia;Población;Carretera;PK;Total;Moto;Lige;Bus;Camión;Pesa;Días
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;2005;40346;268;31484;358;8236;001
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;2004;38757;240;30029;334;8154;001
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;2003;36908;252;28426;306;7924;001
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;2002;35438;0;27536;506;7396;365
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;2001;33146;0;25622;482;7042;365
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;2000;31516;0;24174;470;6872;365
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;1999;29756;0;22794;446;6516;365
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;1998;27200;0;20836;406;5958;365
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;1997;25806;0;19690;392;5724;365
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;1996;23914;0;18558;342;5014;365
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;1995;23844;0;18574;338;4932;365
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;1994;23364;0;18388;318;4658;365
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;1993;23170;0;18236;316;4618;365
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;1992;24130;0;18676;350;5104;001
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;1991;24196;0;18850;342;5004;001
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;1990;23272;0;18246;322;4704;001
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;1989;22954;0;18248;324;4382;001
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;1988;20878;0;16934;270;3674;001
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;2013;38959;234;29616;1524;7353;000
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;2012;33090;132;26374;1470;5006;000
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;2011;35919;108;28670;1060;5963;000
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;2010;38404;152;30824;974;6318;000
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;2009;39568;156;31709;1004;6557;0
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;2008;44345;200;34592;1097;3086;0
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;2007;48942;332;38030;328;10252;9.34
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;2006;45204;322;35206;352;9324;001
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;2005;42291;282;32832;376;8801;001
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;2004;40291;250;30976;348;8717;001
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;2003;38640;264;29488;320;8568;001
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;2002;36938;0;28480;542;7916;365
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;2001;34550;0;26536;512;7502;365
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;2000;32552;0;24838;494;7220;365
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;1999;30562;0;23320;464;6778;365
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;1998;27724;0;21154;420;6150;365
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;1997;25762;0;19838;378;5546;365
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;1996;23790;0;18604;332;4854;365
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;1995;23360;0;18292;324;4744;365
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;1994;22758;0;17980;306;4472;365
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;1993;22682;0;17874;308;4500;365
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;1992;24446;0;18922;354;5170;001
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;1991;24348;0;19016;342;4990;001
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;1990;23334;0;18340;320;4674;001
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;1989;23016;0;18322;318;4376;001
Peajes;GI-503-3;Total;2+2;GI;SALITJA;AP-7N;65,44;1988;20858;0;16958;264;3636;001
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;2013;49390;298;39329;1934;7591;000
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;2012;40832;162;33533;1814;5211;000
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;2011;43570;132;35581;1286;6443;000
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;2010;47034;186;38716;1192;6792;000
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;2009;47964;190;39300;1218;7102;0
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;2008;51474;231;41014;1273;3660;-9.35
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;2007;54244;373;42587;350;10934;1
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;2006;50900;362;40150;398;9990;001
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;2005;47464;316;37275;422;9451;001
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;2004;44944;278;34913;388;9365;001
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;2003;43248;296;33264;358;9330;001
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;2002;40524;0;31448;578;8498;365
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;2001;36524;0;28088;538;7898;365
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;2000;34294;0;26098;522;7674;365
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;1999;28190;0;21144;448;6598;365
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;1998;25518;0;19140;406;5972;365
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;1997;23442;0;17630;370;5442;365
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;1996;21762;0;16670;324;4768;365
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;1995;21430;0;16358;316;4756;365
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;1994;20850;0;16104;296;4450;365
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;1993;21268;0;16428;302;4538;365
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;1992;25134;0;19108;376;5650;001
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;1991;25636;0;19748;368;5520;001
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;1990;23998;0;18672;332;4994;001
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;1989;23056;0;18146;330;4580;001
Peajes;GI-504-3;Total;2+2;GI;GIRONA SUR;AP-7N;61,94;1988;20324;0;16320;270;3734;001
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;2013;28014;168;19822;1096;6718;000
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;2012;25729;102;19760;1142;4625;000
