;;;;;;;;;;;;EVOLUCIÓN HISTÓRICA DE UNA ESTACIÓN;;;;;
;;;;;;;Estación:;A-501-3 Calzada:;;;Total;;Carriles:;;2+2;Prov:;A
;;;;;;;Población:;;OLIVA;;;;Carretera:;;AP-7;PK:;604,36
;;;;;;;;;;;Denominación antigua:;;;;AP-7;;
;;;;IMD;;;;;;% CRECIMIENTO;;;;;FUNCIONAMIENTO;;
;;;;;;;%;;;;;;;No;;Ref. Año;Grado
Año;Total;Moto;Lige;Bus;Camión;Pesa;Pesa;Total;Moto;Lige;Bus;Camión;Pesa;Días;%;Ant;Comarac
1988;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1987;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1986;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1985;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1984;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1983;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1982;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1981;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1980;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1979;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1978;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1977;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1976;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1975;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1974;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1973;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1972;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1971;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1970;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1969;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
;;;;;;;;;;;;;;;;13/06/2014;
;;;;;;;;;;;;EVOLUCIÓN HISTÓRICA DE UNA ESTACIÓN;;;;;
;;;;;;;Estación:;CU-510-3 Calzada:;;;Total;;Carriles:;;2+2;Prov:;CU
;;;;;;;Población:;;;;;;Carretera:;;A-43;PK:;158,52
;;;;;;;;;;;Denominación antigua:;;;;A-43;;
;;;;IMD;;;;;;% CRECIMIENTO;;;;;FUNCIONAMIENTO;;
;;;;;;;%;;;;;;;No;;Ref. Año;Grado
Año;Total;Moto;Lige;Bus;Camión;Pesa;Pesa;Total;Moto;Lige;Bus;Camión;Pesa;Días;%;Ant;Comarac
2013;5414;32;3542;212;1580;1840;34;9.59;57.14;17.75;-3.62;-4.7;-3.76;000;0;;
2012;4940;20;3008;220;1658;1912;38.7;-5.99;-9.09;-5.94;-6.38;-5.9;-6.04;000;0;;
2011;5255;22;3198;235;1762;2035;38.7;-2.54;-8.33;-4.08;25;-2.65;0.05;000;0;;
